COSMIC ID,TCGA Desc,EMT_score
910944,ALL,-0.6225420784415565
1295740,ALL,1.0747177614360035
910687,ALL,-0.42747855735931406
906763,ALL,0.9547943651867152
905952,ALL,0.9517977000728584
1297446,ALL,1.0542886187805935
906877,ALL,-0.21226151526092263
949153,ALL,-0.3100673665471181
907277,ALL,0.3004718249363636
907272,ALL,0.8561070402236579
998184,ALL,0.5950701686070419
907789,ALL,0.7800004583003517
907787,ALL,-8.081297896760375e-4
908146,ALL,0.6994942173401535
908147,ALL,-0.20173285038812416
905958,ALL,0.8244180011156725
1330960,ALL,NA
909251,ALL,0.19328979298309168
909252,ALL,-0.4081064780485972
909260,ALL,0.6015281782014403
909702,ALL,0.608152535282473
909703,ALL,-0.1728750598490425
1247871,ALL,0.03414836157822876
909743,ALL,0.7709321335640684
946358,ALL,-0.0747046141266301
909762,ALL,NA
1290730,BLCA,-1.9768989711893985
687452,BLCA,-0.04193509768311543
906798,BLCA,2.286639911176736
906797,BLCA,-1.274282363693998
910926,BLCA,-1.3473851893019786
753552,BLCA,-2.5156055717517303
907065,BLCA,-1.6844273452598983
753566,BLCA,3.073297735759249
907066,BLCA,-1.673115006393945
907312,BLCA,-1.2623518798118525
753584,BLCA,3.231357712228996
687455,BLCA,-2.4310606967297232
909704,BLCA,-2.183773276056161
909749,BLCA,2.822844947754329
724812,BLCA,2.8825195580113188
687457,BLCA,-2.2561205089036864
687459,BLCA,2.666483664512973
724838,BLCA,2.682036851054201
910927,BRCA,-1.1485513812755563
910704,BRCA,-3.68021627749179
946359,BRCA,-4.506028567012223
949093,BRCA,-4.762054650893289
905951,BRCA,3.115677380667929
906801,BRCA,-3.766774001068379
906826,BRCA,0.7867470311067484
924106,BRCA,-3.5105920040504395
946382,BRCA,-4.218750517560466
910852,BRCA,-1.911375797409617
906812,BRCA,-2.717686895798634
906844,BRCA,-2.9280239502932286
906851,BRCA,-4.233401104658906
1290798,BRCA,-3.964921189316666
906862,BRCA,-4.15937293789985
749710,BRCA,-2.242784768623008
749711,BRCA,-3.0258782908493504
749716,BRCA,-3.93258603969033
1290922,BRCA,-2.097197344171672
749712,BRCA,1.867164108351334
907045,BRCA,-4.579296890828498
749717,BRCA,-1.7330964377889675
1290905,BRCA,-4.6185122760318436
1303900,BRCA,-4.309024075680625
907046,BRCA,-1.27846986959129
907048,BRCA,-3.3806137573814645
749713,BRCA,-2.9135405439045092
749714,BRCA,-3.3886353725309135
749709,BRCA,-3.31985087456391
1290906,BRCA,-4.358372514568229
749715,BRCA,-2.762770629083329
1298157,BRCA,-2.167788743224384
905957,BRCA,4.006546824988019
908121,BRCA,-4.327086897378945
924240,BRCA,-4.099807674566438
1240172,BRCA,1.0545852719049762
908122,BRCA,-4.132790497748944
910948,BRCA,-3.5033359458582582
908151,BRCA,-3.835524918920045
908123,BRCA,-3.012609923168357
905946,BRCA,-4.071748746867437
925338,BRCA,-2.098807072174054
908120,BRCA,NA
905960,BRCA,1.104128283656414
1330941,BRCA,-4.22334440168929
909256,BRCA,-4.03244234753082
905945,BRCA,-4.003538580200142
1303911,BRCA,NA
909907,BRCA,-3.8989545232601497
910910,BRCA,-4.092460527497658
909778,BRCA,-4.3165266026421865
924107,CESC,-3.182772213780205
687505,CESC,0.8641687953289834
687506,CESC,-3.286154080016961
906824,CESC,-1.785732258824586
906843,CESC,-3.6778643969646874
1298134,CESC,1.1296804669841105
907068,CESC,-2.9805797503747025
1240179,CESC,-3.036818705779643
687514,CESC,-3.4352142749727177
949154,CESC,NA
930298,CESC,-2.776778646225604
930297,CESC,0.2525557933309859
1240212,CESC,-0.619976074458469
724839,CESC,1.238208249461918
910700,COREAD,-3.7290598560675434
924108,COREAD,-3.3791327137515905
910689,COREAD,-4.6388426424668605
1290769,COREAD,-3.903654467241462
1240123,COREAD,-4.265745726913381
905961,COREAD,-4.837309935287783
910569,COREAD,0.5647241784061965
910554,COREAD,-4.409644158103239
