COSMIC_ID,TCGA,EMT_score
1,haematopoietic_and_lymphoid_tissue,1.62137887997651
31,haematopoietic_and_lymphoid_tissue,1.525685940360001
34,haematopoietic_and_lymphoid_tissue,1.5670970333481817
46,haematopoietic_and_lymphoid_tissue,1.931307695088873
48,haematopoietic_and_lymphoid_tissue,1.7273169642989683
49,haematopoietic_and_lymphoid_tissue,1.4381487164704851
56,haematopoietic_and_lymphoid_tissue,1.7368828509183756
58,haematopoietic_and_lymphoid_tissue,1.3864916974154144
74,haematopoietic_and_lymphoid_tissue,0.9263664982025169
75,haematopoietic_and_lymphoid_tissue,0.7702837554900903
100,haematopoietic_and_lymphoid_tissue,1.4746090126136995
106,haematopoietic_and_lymphoid_tissue,0.919876817216805
145,haematopoietic_and_lymphoid_tissue,1.1181607026890308
151,haematopoietic_and_lymphoid_tissue,1.4387495535037473
152,haematopoietic_and_lymphoid_tissue,1.2660843554459176
153,haematopoietic_and_lymphoid_tissue,NA
154,haematopoietic_and_lymphoid_tissue,1.990846194564793
159,haematopoietic_and_lymphoid_tissue,NA
167,haematopoietic_and_lymphoid_tissue,NA
203,haematopoietic_and_lymphoid_tissue,0.5930411184618477
204,haematopoietic_and_lymphoid_tissue,0.6578625967192906
206,haematopoietic_and_lymphoid_tissue,2.025896292203707
221,haematopoietic_and_lymphoid_tissue,2.351685362998735
222,haematopoietic_and_lymphoid_tissue,1.011220202310847
228,haematopoietic_and_lymphoid_tissue,0.9354633061983826
229,haematopoietic_and_lymphoid_tissue,NA
239,haematopoietic_and_lymphoid_tissue,1.5054822686932736
240,haematopoietic_and_lymphoid_tissue,1.5281409613732186
242,haematopoietic_and_lymphoid_tissue,1.5218291681773966
244,haematopoietic_and_lymphoid_tissue,1.3150800907367342
253,haematopoietic_and_lymphoid_tissue,0.2957139825981012
266,haematopoietic_and_lymphoid_tissue,0.8674957923888583
272,haematopoietic_and_lymphoid_tissue,1.6815590956916868
283,haematopoietic_and_lymphoid_tissue,1.5417515919316556
347,haematopoietic_and_lymphoid_tissue,1.6034496941514096
348,haematopoietic_and_lymphoid_tissue,3.9056330745262597
362,haematopoietic_and_lymphoid_tissue,1.6969578399337681
363,haematopoietic_and_lymphoid_tissue,1.764112682091493
369,haematopoietic_and_lymphoid_tissue,1.6295705120887787
371,haematopoietic_and_lymphoid_tissue,1.1557838727037761
386,haematopoietic_and_lymphoid_tissue,2.103298466882568
403,haematopoietic_and_lymphoid_tissue,NA
405,haematopoietic_and_lymphoid_tissue,1.637436895788782
406,haematopoietic_and_lymphoid_tissue,6.166368456242816
420,haematopoietic_and_lymphoid_tissue,5.995299357987276
445,haematopoietic_and_lymphoid_tissue,1.05756292926379
